onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
513	6	1	84	1	1	2	1.314	1	1	4	0.201
519	6	1	85	2	2	2	3.687	2	1	 n/a	 n/a
525	6	1	86	2	2	1	2.784	1	0	 n/a	 n/a
531	6	1	87	2	1	2	3.545	1	0	1	0.725
537	6	1	88	1	2	2	2.562	1	1	1	0.524
543	6	1	89	1	2	1	3.493	2	0	 n/a	 n/a
549	6	1	90	2	2	1	1.303	1	0	4	0.004
555	6	1	91	1	2	1	3.644	2	0	4	0.231
561	6	1	92	1	1	1	3.499	1	1	1	0.409
567	6	1	93	1	2	2	2.346	1	1	1	1.753
573	6	1	94	2	2	2	3.495	2	1	4	0.242
579	6	1	95	2	1	1	3.013	2	1	3	1.127
585	6	1	96	1	1	2	2.099	1	1	4	0.461
